texts/bogdanovich_dushenka.txt	Душенька		Богданович	1743–1803	Читается за 10 минут	1,5 ч			Русская литература->18 век
texts/bogomolov_ivan.txt	Иван	1957	Богомолов	1924–2003	Читается за 5 минут	2 ч			Русская литература->Советская
texts/bogomolov_v_avguste44.txt	Момент истины. В августе сорок четвёртого	1957	Богомолов	1924–2003	Читается за 8 минут	12 ч			Русская литература->Советская
texts/bokkachcho_dekameron.txt	Декамерон		Боккаччо	1313–1375	Читается за 45 минут	23 ч			Европейская литература->Итальянская
texts/bokkachcho_fjametta.txt	Фьямметта		Боккаччо	1313–1375	Читается за 7 минут	6 ч			Европейская литература->Итальянская
texts/bokkachcho_fezolanskie_nimfy.txt	Фьезоланские нимфы		Боккаччо	1313–1375	Читается за 7 минут	3 ч			Европейская литература->Итальянская
texts/bokkachcho_voron.txt	Ворон		Боккаччо	1313–1375	Читается за 6 минут	2,5 ч			Европейская литература->Итальянская
texts/bolduin_drugaja_strana.txt	Другая страна		Болдуин	1924–1987	Читается за 8 минут				Американская литература->США
texts/bomarshe_bezumnyj_den_ili_zhenitba_figaro.txt	Безумный день, или Женитьба Фигаро	1779	Бомарше	1732–1799	Читается за 11 минут	3 ч			Европейская литература->Французская
texts/bomarshe_sevilskij_cirjulnik_ili_tcshetnaja_predostorozhnost.txt	Севильский цирюльник, или Тщетная предосторожность	1779	Бомарше	1732–1799	Читается за 11 минут	1,5 ч			Европейская литература->Французская
texts/bomarshe_prestupnaja_mat.txt	Преступная мать, или Второй Тартюф	1779	Бомарше	1732–1799	Читается за 9 минут	2 ч			Европейская литература->Французская
texts/bondarev_gorjachij_sneg.txt	Горячий снег	1975	Бондарев	род. 1924	Читается за 14 минут	11 ч			Русская литература->Советская
texts/bondarev_bereg.txt	Берег	1975	Бондарев	род. 1924	Читается за 11 минут	12 ч			Русская литература->Советская
texts/bondarev_tishina.txt	Тишина	1975	Бондарев	род. 1924	Читается за 5 минут	11 ч			Русская литература->Советская
texts/bono_6_shliap_myshleniia.txt	Шесть шляп мышления		Боно	род. 1933	Читается за 13 минут	6 ч			Европейская литература->Британская
texts/borgen_malenkij_lord.txt	Маленький Лорд		Борген	1902–1979	Читается за 14 минут	9 ч	В. К. Мяэотс	98	Скандинавская литература->Норвежская
texts/borhes_vavilonskaja_biblioteka.txt	Вавилонская библиотека	1941	Борхес	1899–1986	Читается за 6 минут	20 мин			Латино­американская литература->Аргентинская
texts/borhes_vymyshlennye_istorii.txt	Вымышленные истории	1941	Борхес	1899–1986	Читается за 10 минут				Латино­американская литература->Аргентинская
texts/borhes_vsemirnaja_istorija_nizosti.txt	Всемирная история низости	1941	Борхес	1899–1986	Читается за 5 минут	1,5 ч			Латино­американская литература->Аргентинская
texts/borhes_istorija_vechnosti.txt	История вечности	1941	Борхес	1899–1986	Читается за 6 минут	3 ч			Латино­американская литература->Аргентинская
texts/branner_nikto_ne_znaet_nochi.txt	Никто не знает ночи		Браннер	1903–1966	Читается за 9 минут	8 ч			Скандинавская литература->Датская
texts/braun_kod_da_vinchi.txt	Код да Винчи	2013	Браун	род. 1964	Читается за 12 минут	14 ч			Американская литература->США
texts/braun_inferno.txt	Инферно	2013	Браун	род. 1964	Читается за 10 минут	15 ч			Американская литература->США
texts/breton_sovracshennyj_poseljanin_ili_opasnosti_gorodskoj_zhizni.txt	Совращённый поселянин, или Опасности городской жизни		Бретон	1734–1806	Читается за 12 минут				Европейская литература->Французская
texts/breht_mamasha_kurazh_i_ee_deti.txt	Мамаша Кураж и её дети	1940	Брехт	1898–1956	Читается за 7 минут	2,5 ч	Л. Б. Шамшин	152	Европейская литература->Немецкая
texts/breht_zhizn_galileja.txt	Жизнь Галилея	1940	Брехт	1898–1956	Читается за 13 минут	3 ч	Алексей Боровиков	68	Европейская литература->Немецкая
texts/breht_dobryj_chelovek_iz_sychuani.txt	Добрый человек из Сычуани	1940	Брехт	1898–1956	Читается за 10 минут	2,5 ч			Европейская литература->Немецкая
texts/breht_trehgroshovaja_opera.txt	Трёхгрошовая опера	1940	Брехт	1898–1956	Читается за 7 минут	2,5 ч	Л. Б. Шамшин	152	Европейская литература->Немецкая
texts/brodskij_mramor.txt	Мрамор		Бродский	1940–1996	Читается за 7 минут	2 ч	Э. Л. Безносов	beznosov	Русская литература->Современная
texts/brodskij_posvjacshaetsja_jalte.txt	Посвящается Ялте		Бродский	1940–1996	Читается за 8 минут		Э. Л. Безносов	beznosov	Русская литература->Современная
texts/brojn_buridanov_osel.txt	Буриданов осёл		Бройн	род. 1926	Читается за 10 минут				Европейская литература->Немецкая
texts/emilibronte_grozovoj_pereval.txt	Грозовой перевал		Бронте_1	1818–1848	Читается за 11 минут	9 ч	Д. А. Карельский	karelsky	Европейская литература->Британская
texts/enn_bronte_neznakomka_iz_uayldfell_kholla.txt	Незнакомка из Уайлдфелл-Холла		Бронте_2	1820–1849	Читается за 10 минут	13 ч			Европейская литература->Британская
texts/bronte_dzhejn_ejr.txt	Джейн Эйр	1853	Бронте_3	1816–1855	Читается за 11 минут	14 ч	Д. А. Карельский	karelsky	Европейская литература->Британская
texts/bronte_gorodok.txt	Городок	1853	Бронте_3	1816–1855	Читается за 10 минут	16 ч	Д. А. Карельский	karelsky	Европейская литература->Британская
texts/broh_nevinovnye.txt	Невиновные		Брох	1886–1951	Читается за 14 минут	8 ч			Европейская литература->Австрийская
texts/brooks_biznes_prikliucheniia.txt	Бизнес-приключения: 12 классических историй Уолл-стрит		Брукс	1920–1993	Читается за 15 минут	14 ч			Американская литература->США
texts/bredberi_451_po_farengejtu.txt	451 градус по Фаренгейту	1953	Брэдбери	1920–2012	Читается за 8 минут	4 ч	С. Б. Белов	belov	Американская литература->США
